Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/16/22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Qatar,QAT,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,ROU,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000,,,,,,2200,160,1500,,1200,460,290,410
Russian Federation,RUS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23000,3500,32000,29000,23000,6600,3600,5900,3600,12000,250,5600
Rwanda,RWA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000,,5900,1900,3200,1000,,2000,9700,5000,47000,12000,6000,15000
South Asia,SAS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590400,7139000,13252000,2957000,11777600,4063000,4981000,7950900,3566090,2839876,3302120,9529300,9241120,5250000
Saudi Arabia,SAU,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,,8200,,4700,,,280,100,2000,260,610,
Sudan,SDN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000,80000,20000,19000,84000,284000,187000,8300,123000,54000,121000,272000,454000,99000
Senegal,SEN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264000,7800,1600,20000,13000,,,24000,630,2,4400,3300,1300
Singapore,SGP,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7900,,1000,3500,9000,1000,1300,580,1100,31,320,5
Sierra Leone,SLE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8400,,,,12000,,5300,,
El Salvador,SLV,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,15000,16000,60000,,2300,22,2000,480,390,4700,1900,17000,550
San Marino,SMR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000,,5200,,28000,60000,36000,59000,70000,899000,547000,479000,1037000,271000
Serbia,SRB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,,,190,33000,,39,42,130,300,880,34
Sub-Saharan Africa (excluding high income),SSA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118600,1692350,603100,5940720,1594598,652050,1108287,1075450,2559842,2608196,3396050,4289892,2555500
South Sudan,SSD,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340000,116000,112000,15000,,75000,6600,294000,443000,506000
Sub-Saharan Africa,SSF,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118600,1692350,603100,5940720,1595698,652057,1108287,1075470,2559842,2608196,3396050,4289892,2555500
Small states,SST,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,STP,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500
Suriname,SUR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,6000,,,,6500
Slovak Republic,SVK,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,,60,
Slovenia,SVN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,,,
Sweden,SWE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,100,,,130,47,,
Eswatini,SWZ,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,,,110
Sint Maarten (Dutch part),SXM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13000,,,,
Seychelles,SYC,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,7,,20,,,,,
Syrian Arab Republic,SYR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,2300,27000,17000,25000,79000
Turks and Caicos Islands,TCA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,60,,,,
Chad,TCD,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,5800,70000,,500000,88000,9900,,5700,,2000,30000,71000,24000
East Asia & Pacific (IDA & IBRD countries),TEA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24276685,7349800,19001900,9172800,9920350,14852332,10965826,7779530,15399033,8514540,9055630,9284244,11779675,13604710
Europe & Central Asia (IDA & IBRD countries),TEC,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98100,,,,,,12442,,17126,51528,191410,94444
Togo,TGO,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,50000,,,120,,5000,,50,,,,
Thailand,THA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203000,68000,1000000,1645000,3400,13000,27000,240,90000,50000,4600,61000,13000,9400
Tajikistan,TJK,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,6400,660,460,11000,2400,4700,5400,4800,1500,1200
Turkmenistan,TKM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761340,985020,8163600,1014396,521000,354082,1550762,1538560,681270,847522,367614,568249,2138310,833016
Timor-Leste,TLS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,2300,310,110,,,,1100,16000
Middle East & North Africa (IDA & IBRD countries),TMN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,130730,,,198727,627378,329691,226360
Tonga,TON,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,17,5300,,3000,,5700,,2700,
South Asia (IDA & IBRD),TSA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7590400,7139000,13252000,2957000,11777600,4063000,4981000,7950900,3566090,2839876,3302120,9529300,9241120,5250000
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118600,1692350,603100,5940720,1595698,652057,1108287,1075470,2559842,2608196,3396050,4289892,2555500
Trinidad and Tobago,TTO,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,200,860,48,33,
Tunisia,TUN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,120,,990,3300,32,10000,3200
Turkiye,TUR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,20000,200,252000,,,480,1500,200,,640,540,41000,84000
Tuvalu,TUV,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400,,,,,400,
Tanzania,TZA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,11000,,22000,10000,,14000,3500,36000,1900,29000,11000,57000,47000
Uganda,UGA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,6400,220,30000,50000,600,2500,95000,164000,130000,40000,47000
Ukraine,UKR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25000,,,,,600,,,130,,,,2000,2000
Upper middle income,UMC,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22087700,5165510,21389700,7454396,6630250,6405400,4384404,4093812,9166243,7172179,4251073,4724669,6784899,7070790
Uruguay,URY,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,4900,24000,12000,9100,300,22000,370,160
United States,USA,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020000,1300,,52000,901000,188000,34000,63000,1107000,1686000,1247000,916000,1714000,573000
Uzbekistan,UZB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000,
St. Vincent and the Grenadines,VCT,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,2300,,,340,20,,230,,23000
"Venezuela, RB",VEN,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,,102000,,1000,,,45000,230,2100,32000,320,2400,33000
British Virgin Islands,VGB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,
Virgin Islands (U.S.),VIR,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300,,,,
Vietnam,VNM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106000,187000,442000,230000,15000,1040000,68000,9600,81000,633000,143000,89000,1267000,780000
Vanuatu,VUT,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,700,69,350,65000,,14000,13000,1000,80000,
World,WLD,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38241123,16734400,42350200,15023796,30148600,22125871,19120870,19189827,24213693,18776796,17176954,24804408,30688209,23674728
Samoa,WSM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5300,,,7700,,86,970,63,,330,,55,
Kosovo,XKX,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,10,,,,,70
"Yemen, Rep.",YEM,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,1000,,,10000,,83000,45000,13,18000,31000,223000,84000
South Africa,ZAF,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500,20000,6000,52000,2000,18000,3500,14,12000,15000,2100,1700,370,10000
Zambia,ZMB,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,54000,150,,,5500,26000,25,,2800,21,1300,6000,1300
Zimbabwe,ZWE,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,23000,800,400,10000,1100,52000,380,2400
